TRAFFIC LIGHTS: 000100
1552543200 000001 0277
1552543200 000002 0188
1552543200 000003 0153
1552543200 000004 0067
1552543200 000005 0177
1552543200 000006 0222
1552543200 000007 0139
1552543200 000008 0194
1552543200 000009 0126
1552543200 000010 0095
1552543200 000011 0220
1552543200 000012 0157
1552543200 000013 0068
1552543200 000014 0293
1552543200 000015 0112
1552543200 000016 0220
1552543200 000017 0162
1552543200 000018 0224
1552543200 000019 0282
1552543200 000020 0070
1552543200 000021 0205
1552543200 000022 0008
1552543200 000023 0052
1552543200 000024 0227
1552543200 000025 0247
1552543200 000026 0040
1552543200 000027 0269
1552543200 000028 0278
1552543200 000029 0113
1552543200 000030 0264
1552543200 000031 0094
1552543200 000032 0053
1552543200 000033 0053
1552543200 000034 0283
1552543200 000035 0144
1552543200 000036 0105
1552543200 000037 0132
1552543200 000038 0189
1552543200 000039 0171
1552543200 000040 0242
1552543200 000041 0035
1552543200 000042 0195
1552543200 000043 0164
1552543200 000044 0207
1552543200 000045 0227
1552543200 000046 0081
1552543200 000047 0239
1552543200 000048 0162
1552543200 000049 0279
1552543200 000050 0174
1552543200 000051 0081
1552543200 000052 0255
1552543200 000053 0213
1552543200 000054 0006
1552543200 000055 0299
1552543200 000056 0177
1552543200 000057 0293
1552543200 000058 0220
1552543200 000059 0198
1552543200 000060 0116
1552543200 000061 0149
1552543200 000062 0272
1552543200 000063 0210
1552543200 000064 0033
1552543200 000065 0220
1552543200 000066 0152
1552543200 000067 0272
1552543200 000068 0223
1552543200 000069 0293
1552543200 000070 0208
1552543200 000071 0173
1552543200 000072 0187
1552543200 000073 0023
1552543200 000074 0038
1552543200 000075 0279
1552543200 000076 0279
1552543200 000077 0187
1552543200 000078 0234
1552543200 000079 0102
1552543200 000080 0214
1552543200 000081 0045
1552543200 000082 0216
1552543200 000083 0279
1552543200 000084 0155
1552543200 000085 0099
1552543200 000086 0200
1552543200 000087 0232
1552543200 000088 0266
1552543200 000089 0094
1552543200 000090 0278
1552543200 000091 0117
1552543200 000092 0015
1552543200 000093 0042
1552543200 000094 0209
1552543200 000095 0045
1552543200 000096 0231
1552543200 000097 0228
1552543200 000098 0003
1552543200 000099 0100
1552543200 000100 0048
1552543500 000001 0234
1552543500 000002 0087
1552543500 000003 0075
1552543500 000004 0120
1552543500 000005 0031
1552543500 000006 0023
1552543500 000007 0028
1552543500 000008 0271
1552543500 000009 0175
1552543500 000010 0229
1552543500 000011 0260
1552543500 000012 0056
1552543500 000013 0021
1552543500 000014 0027
1552543500 000015 0267
1552543500 000016 0130
1552543500 000017 0240
1552543500 000018 0058
1552543500 000019 0230
1552543500 000020 0048
1552543500 000021 0119
1552543500 000022 0059
1552543500 000023 0126
1552543500 000024 0028
1552543500 000025 0136
1552543500 000026 0063
1552543500 000027 0124
1552543500 000028 0067
1552543500 000029 0246
1552543500 000030 0189
1552543500 000031 0272
1552543500 000032 0207
1552543500 000033 0261
1552543500 000034 0057
1552543500 000035 0107
1552543500 000036 0253
1552543500 000037 0155
1552543500 000038 0020
1552543500 000039 0188
1552543500 000040 0117
1552543500 000041 0189
1552543500 000042 0265
1552543500 000043 0002
1552543500 000044 0280
1552543500 000045 0255
1552543500 000046 0062
1552543500 000047 0074
1552543500 000048 0108
1552543500 000049 0276
1552543500 000050 0275
1552543500 000051 0002
1552543500 000052 0122
1552543500 000053 0256
1552543500 000054 0293
1552543500 000055 0110
1552543500 000056 0033
1552543500 000057 0147
1552543500 000058 0083
1552543500 000059 0134
1552543500 000060 0241
1552543500 000061 0230
1552543500 000062 0198
1552543500 000063 0045
1552543500 000064 0230
1552543500 000065 0288
1552543500 000066 0011
1552543500 000067 0288
1552543500 000068 0210
1552543500 000069 0210
1552543500 000070 0209
1552543500 000071 0146
1552543500 000072 0012
1552543500 000073 0195
1552543500 000074 0271
1552543500 000075 0042
1552543500 000076 0262
1552543500 000077 0243
1552543500 000078 0179
1552543500 000079 0146
1552543500 000080 0050
1552543500 000081 0090
1552543500 000082 0035
1552543500 000083 0083
1552543500 000084 0240
